,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
106,2019-08-10 03:32:00,7,0,2,7,1,14,0,2,4,3,45,0,3,2,24,7,5,0,0,0,2,0,9,14,2
107,2019-08-10 03:34:00,4,0,2,6,1,6,0,3,2,5,46,0,4,3,24,8,2,0,0,0,2,3,8,13,2
108,2019-08-10 03:36:00,7,0,1,6,0,7,0,2,1,3,43,0,4,2,28,5,2,0,0,0,2,0,9,14,2
109,2019-08-10 03:38:00,6,0,2,7,0,10,0,3,4,4,42,0,1,1,24,4,9,0,0,0,2,0,11,14,2
110,2019-08-10 03:40:00,6,0,2,7,1,8,0,2,0,6,54,0,4,1,24,4,7,0,0,0,2,0,8,13,2
111,2019-08-10 03:42:00,5,0,1,7,0,8,0,2,1,15,49,0,4,4,25,7,5,0,0,0,2,0,10,13,2
112,2019-08-10 03:44:00,10,0,2,7,0,10,0,2,6,4,79,0,0,2,26,5,4,0,0,0,3,0,7,11,2
113,2019-08-10 03:46:00,7,0,1,6,0,8,0,3,6,4,51,0,2,2,24,11,7,0,0,0,3,0,8,13,2
114,2019-08-10 03:48:00,4,0,1,8,0,8,0,2,2,5,42,0,6,1,26,28,3,0,0,0,2,0,9,14,2
115,2019-08-10 03:50:00,8,0,2,6,1,8,0,2,8,3,45,0,0,4,26,52,10,0,0,0,3,0,12,18,2
116,2019-08-10 03:52:00,8,0,2,6,0,7,0,4,9,4,50,0,0,2,24,31,1,0,0,0,2,0,12,14,2
117,2019-08-10 03:54:00,11,0,1,7,1,8,0,5,7,3,53,0,1,2,26,28,6,0,0,0,4,0,10,14,2
118,2019-08-10 03:56:00,9,0,2,7,0,11,0,5,2,5,54,0,6,2,26,29,2,0,0,0,2,0,14,13,2
119,2019-08-10 03:58:00,7,1,1,6,1,9,0,5,0,6,51,0,8,2,26,29,4,0,0,0,1,0,14,9,2
120,2019-08-10 04:00:00,7,0,1,6,0,11,0,5,8,3,61,0,0,3,23,30,4,0,0,0,2,0,12,10,2
121,2019-08-10 04:02:00,8,0,3,6,0,12,0,4,9,3,59,0,0,0,26,30,3,0,0,0,4,0,8,15,2
122,2019-08-10 04:04:00,7,0,2,6,0,13,0,11,8,4,54,0,0,2,26,28,3,0,0,0,4,0,12,12,2
123,2019-08-10 04:06:00,10,0,2,6,1,10,0,54,10,4,55,0,4,3,30,29,1,0,0,3,2,0,14,14,2
124,2019-08-10 04:08:00,11,2,2,7,0,9,0,7,12,4,48,0,2,1,25,30,4,0,0,19,3,0,15,13,2
125,2019-08-10 04:10:00,13,0,2,10,1,8,0,4,12,3,52,0,0,0,51,31,4,0,0,0,3,0,16,10,2
126,2019-08-10 04:12:00,9,0,1,7,3,7,0,2,0,6,53,0,11,1,62,29,3,0,0,0,2,0,21,14,2
127,2019-08-10 04:14:00,20,0,2,7,0,8,0,4,2,10,54,0,11,1,46,30,11,0,0,0,4,0,14,14,4
128,2019-08-10 04:16:00,33,0,1,6,1,8,0,3,11,3,51,0,1,3,43,31,3,0,0,0,2,0,16,12,2
129,2019-08-10 04:18:00,70,0,2,7,0,9,0,5,12,6,54,0,1,0,45,30,3,0,0,0,2,0,15,16,2
130,2019-08-10 04:20:00,115,0,1,8,1,7,0,2,13,4,61,0,2,2,44,27,4,0,0,0,2,0,17,15,2
131,2019-08-10 04:22:00,104,0,2,9,2,9,0,4,11,4,58,0,2,2,37,33,4,0,0,0,2,0,31,13,2
132,2019-08-10 04:24:00,110,0,4,11,0,8,0,3,6,8,56,0,9,2,40,31,2,0,0,0,2,0,60,16,2
133,2019-08-10 04:26:00,99,0,2,9,2,6,0,2,11,7,55,0,2,0,46,31,4,0,0,0,3,0,59,13,2
134,2019-08-10 04:28:00,98,1,2,9,2,10,0,3,12,7,64,0,0,2,44,31,2,0,0,0,3,1,57,13,2
135,2019-08-10 04:30:00,92,3,2,9,0,9,0,2,13,3,58,0,1,3,40,28,4,0,0,0,2,0,60,10,2
136,2019-08-10 04:32:00,95,0,1,8,0,7,0,4,1,2,68,0,11,0,48,28,4,0,0,0,4,0,64,14,2
137,2019-08-10 04:34:00,110,0,1,7,2,8,0,3,12,7,67,0,0,3,39,30,7,0,0,0,3,0,65,18,2
138,2019-08-10 04:36:00,100,0,1,8,1,8,0,2,2,4,64,0,11,1,44,30,2,0,0,0,1,0,59,15,2
139,2019-08-10 04:38:00,104,2,2,10,1,4,0,2,14,4,58,0,0,2,34,32,2,0,0,0,3,0,76,18,2
140,2019-08-10 04:40:00,96,0,2,7,3,7,0,3,11,5,64,0,0,3,43,31,5,0,0,0,4,2,55,15,2
141,2019-08-10 04:42:00,98,0,2,11,0,9,0,2,12,4,62,0,0,2,56,32,5,0,0,0,2,0,50,13,2
142,2019-08-10 04:44:00,96,3,2,12,4,9,0,2,12,6,66,0,2,0,49,29,2,0,0,0,4,0,54,14,2
143,2019-08-10 04:46:00,91,1,2,13,0,8,0,4,11,5,74,0,3,2,45,33,2,0,0,0,2,0,45,16,2
144,2019-08-10 04:48:00,91,0,1,15,0,8,0,3,3,5,57,0,10,2,42,33,6,0,0,0,2,0,56,18,2
145,2019-08-10 04:50:00,100,0,2,11,3,9,0,4,4,7,68,0,10,1,33,25,6,0,0,0,3,0,57,17,2
146,2019-08-10 04:52:00,99,0,1,8,0,10,0,6,18,6,66,0,1,2,45,27,4,0,0,0,3,0,58,22,2
147,2019-08-10 04:54:00,98,0,5,12,6,10,0,4,8,4,69,0,5,1,47,26,11,0,0,0,4,0,66,15,3
148,2019-08-10 04:56:00,95,0,4,9,2,9,0,2,17,3,67,0,0,2,42,23,5,0,0,0,5,1,69,17,2
149,2019-08-10 04:58:00,90,0,4,8,1,9,0,2,18,6,67,0,1,2,46,26,5,0,0,0,2,0,64,18,5
150,2019-08-10 05:00:00,100,0,3,10,2,9,0,4,20,4,67,0,0,2,56,36,3,0,0,0,4,0,52,13,3
151,2019-08-10 05:02:00,88,0,2,7,0,8,0,5,6,6,71,0,12,2,41,34,9,0,0,0,3,0,54,16,2
152,2019-08-10 05:04:00,74,0,1,6,4,5,0,2,20,3,74,0,0,2,33,33,12,0,0,0,2,0,51,14,2
153,2019-08-10 05:06:00,91,0,5,10,2,8,0,3,19,5,63,0,0,1,51,29,6,0,0,0,2,0,55,21,3
154,2019-08-10 05:08:00,90,0,1,6,2,9,0,2,16,3,66,0,3,0,45,34,5,0,0,0,2,0,57,18,2
155,2019-08-10 05:10:00,89,0,1,8,3,8,0,2,6,6,65,0,16,1,44,26,6,0,0,0,4,0,61,18,3
156,2019-08-10 05:12:00,68,0,1,7,1,10,0,2,20,5,69,0,0,2,47,32,9,0,0,0,3,0,64,15,3
157,2019-08-10 05:14:00,85,1,2,8,5,6,0,4,5,15,73,0,18,1,38,34,6,0,0,0,2,0,67,15,3
158,2019-08-10 05:16:00,85,2,2,7,4,9,0,6,28,12,62,0,1,1,39,36,7,0,0,0,1,0,73,15,3
159,2019-08-10 05:18:00,85,0,1,12,1,11,0,4,29,13,74,0,0,2,48,28,9,0,0,0,2,0,67,12,3
160,2019-08-10 05:20:00,119,0,1,10,3,9,0,2,26,12,73,0,1,2,44,43,8,0,0,0,3,0,64,14,4
161,2019-08-10 05:22:00,92,0,3,10,3,10,0,5,25,10,76,0,2,2,51,28,13,0,0,0,3,0,77,19,3
162,2019-08-10 05:24:00,114,0,1,8,2,11,0,3,29,13,74,0,0,2,43,32,10,0,0,0,2,0,75,13,4
163,2019-08-10 05:26:00,102,0,3,9,3,7,0,4,5,8,80,0,27,2,38,32,16,0,0,0,2,0,74,20,4
164,2019-08-10 05:28:00,110,0,0,8,1,8,0,6,27,16,65,0,3,2,44,34,16,0,0,2,2,0,75,13,2
165,2019-08-10 05:30:00,107,0,1,13,2,6,0,3,29,11,78,0,1,2,51,31,7,0,0,0,2,0,82,16,4
166,2019-08-10 05:32:00,100,0,1,14,1,12,0,6,4,6,74,0,22,0,50,36,11,0,0,0,2,0,72,12,2
167,2019-08-10 05:34:00,92,0,2,11,0,8,0,2,31,7,74,0,1,2,49,32,15,0,0,2,2,0,85,14,4
168,2019-08-10 05:36:00,99,0,1,14,1,13,0,4,30,12,76,0,2,2,54,30,15,0,0,1,3,0,82,18,2
169,2019-08-10 05:38:00,106,0,3,9,0,7,0,3,34,10,76,0,1,2,58,35,15,0,0,1,5,0,88,14,2
170,2019-08-10 05:40:00,98,0,0,13,8,17,0,3,3,11,62,0,28,2,69,37,11,0,0,2,3,0,87,16,2
171,2019-08-10 05:42:00,107,0,2,8,0,9,0,4,33,8,91,0,0,2,67,37,10,0,0,1,4,0,67,20,2
172,2019-08-10 05:44:00,101,0,1,9,0,11,0,7,28,11,79,0,3,2,57,31,16,0,0,2,2,1,76,19,2
173,2019-08-10 05:46:00,123,2,1,9,1,11,0,6,28,18,92,0,2,5,67,34,15,0,0,3,3,3,67,17,2
174,2019-08-10 05:48:00,133,0,1,8,1,17,0,7,34,13,86,0,1,4,67,32,15,0,0,5,4,0,83,15,2
175,2019-08-10 05:50:00,122,0,1,13,4,10,0,7,5,14,88,0,31,1,76,30,13,0,0,5,2,0,81,19,2
176,2019-08-10 05:52:00,121,3,2,14,2,9,0,6,29,14,79,0,0,2,70,31,10,0,0,5,3,0,74,18,2
177,2019-08-10 05:54:00,109,3,1,21,0,9,0,4,33,13,100,0,1,4,73,37,11,0,0,5,2,0,61,15,2
178,2019-08-10 05:56:00,111,0,2,15,1,11,0,5,40,8,96,0,1,0,82,38,17,0,0,2,3,0,80,16,4
179,2019-08-10 05:58:00,97,1,2,24,1,8,0,2,35,11,91,0,3,0,81,32,10,0,0,0,2,0,89,17,4
180,2019-08-10 06:00:00,117,3,3,26,6,9,0,4,43,17,107,0,2,3,71,29,12,0,0,3,2,0,90,18,6
181,2019-08-10 06:02:00,99,5,2,22,1,15,0,4,5,15,78,0,38,6,64,34,22,0,0,5,2,0,76,13,9
182,2019-08-10 06:04:00,129,0,3,19,1,16,0,15,37,7,98,0,2,6,61,39,26,0,0,13,1,2,84,13,18
183,2019-08-10 06:06:00,114,2,1,17,6,19,0,19,36,3,90,0,4,7,68,41,14,0,0,31,5,2,93,16,13
184,2019-08-10 06:08:00,111,0,1,25,7,13,0,10,36,9,87,0,4,5,66,41,19,0,0,11,2,0,86,12,3
185,2019-08-10 06:10:00,122,1,1,9,1,13,0,18,29,14,90,0,6,15,72,36,19,0,0,11,4,0,83,22,6
186,2019-08-10 06:12:00,103,2,2,10,4,20,0,23,33,13,90,0,3,6,84,48,18,0,0,4,2,0,80,19,2
187,2019-08-10 06:14:00,109,1,4,13,5,21,0,21,38,10,99,0,4,3,77,46,15,0,0,4,1,0,95,16,2
188,2019-08-10 06:16:00,105,1,3,7,4,26,0,15,37,20,93,0,2,4,64,53,13,0,0,10,2,0,96,19,2
189,2019-08-10 06:18:00,102,0,3,11,3,27,0,23,36,7,110,0,7,6,60,46,8,0,0,6,2,0,97,15,2
190,2019-08-10 06:20:00,111,0,0,11,10,13,0,17,40,11,102,0,3,6,64,49,4,0,0,15,2,0,84,22,3
191,2019-08-10 06:22:00,110,0,1,9,1,13,0,25,36,11,115,0,2,4,71,58,15,0,0,16,3,0,80,14,4
192,2019-08-10 06:24:00,127,0,1,10,5,21,0,22,42,14,104,0,3,8,64,56,11,0,0,46,4,1,81,18,3
193,2019-08-10 06:26:00,113,1,1,12,3,14,0,27,39,13,106,0,4,6,51,51,18,0,0,49,2,0,79,23,5
194,2019-08-10 06:28:00,116,2,1,12,1,15,0,16,12,13,101,0,30,5,48,61,24,0,0,25,3,2,87,22,4
195,2019-08-10 06:30:00,114,7,3,16,5,23,0,22,43,9,116,0,0,14,57,61,20,0,0,18,3,3,92,23,4
196,2019-08-10 06:32:00,97,2,5,9,3,13,0,30,39,6,92,0,6,3,56,59,17,0,0,24,3,4,94,20,2
