,time,variable,value
425,18/8/2019 20:30,0000000006dd41f6,8
426,18/8/2019 21:00,0000000006dd41f6,3
427,18/8/2019 21:30,0000000006dd41f6,3
428,18/8/2019 22:00,0000000006dd41f6,6
429,18/8/2019 22:30,0000000006dd41f6,7
430,18/8/2019 23:00,0000000006dd41f6,6
431,18/8/2019 23:30,0000000006dd41f6,6
432,19/8/2019 0:00,0000000006dd41f6,7
433,19/8/2019 0:30,0000000006dd41f6,6
434,19/8/2019 1:00,0000000006dd41f6,6
435,19/8/2019 1:30,0000000006dd41f6,7
436,19/8/2019 2:00,0000000006dd41f6,7
437,19/8/2019 2:30,0000000006dd41f6,7
438,19/8/2019 3:00,0000000006dd41f6,7
439,19/8/2019 3:30,0000000006dd41f6,10
440,19/8/2019 4:00,0000000006dd41f6,10
441,19/8/2019 4:30,0000000006dd41f6,99
442,19/8/2019 5:00,0000000006dd41f6,99
443,19/8/2019 5:30,0000000006dd41f6,95
444,19/8/2019 6:00,0000000006dd41f6,102
445,19/8/2019 6:30,0000000006dd41f6,91
446,19/8/2019 7:00,0000000006dd41f6,77
447,19/8/2019 7:30,0000000006dd41f6,54
448,19/8/2019 8:00,0000000006dd41f6,35
449,19/8/2019 8:30,0000000006dd41f6,46
450,19/8/2019 9:00,0000000006dd41f6,40
451,19/8/2019 9:30,0000000006dd41f6,69
452,19/8/2019 10:00,0000000006dd41f6,54
453,19/8/2019 10:30,0000000006dd41f6,50
454,19/8/2019 11:00,0000000006dd41f6,52
455,19/8/2019 11:30,0000000006dd41f6,64
456,19/8/2019 12:00,0000000006dd41f6,69
457,19/8/2019 12:30,0000000006dd41f6,91
458,19/8/2019 13:00,0000000006dd41f6,96
459,19/8/2019 13:30,0000000006dd41f6,137
460,19/8/2019 14:00,0000000006dd41f6,132
461,19/8/2019 14:30,0000000006dd41f6,120
462,19/8/2019 15:00,0000000006dd41f6,11
463,19/8/2019 15:30,0000000006dd41f6,12
464,19/8/2019 16:00,0000000006dd41f6,7
465,19/8/2019 16:30,0000000006dd41f6,6
466,19/8/2019 17:00,0000000006dd41f6,39
467,19/8/2019 17:30,0000000006dd41f6,3
