Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,8,10,03:40,UTC,0,1012.8,95,0,-1,13.6,12.8,32000,123,2.3,1.3
2019,8,10,03:50,UTC,0,1012.9,95,0,-1,13.5,12.8,21330,86,1.4,0.7
2019,8,10,04:00,UTC,0,1012.9,94,0,-1,14.2,13.2,27630,89,1.2,0.8
2019,8,10,04:10,UTC,0,1013,92,0,-1,14.6,13.3,32950,71,1.4,1
2019,8,10,04:20,UTC,0,1013.1,89,0,-1,15.9,14.1,29570,0,0,0
2019,8,10,04:30,UTC,0,1013.1,83,0,-1,16.9,14,40040,0,0,0
2019,8,10,04:40,UTC,0,1013.1,79,0,-1,17.1,13.5,36430,69,1,0.6
2019,8,10,04:50,UTC,0,1013.1,81,0,-1,17.5,14.2,38290,0,0,0
2019,8,10,05:00,UTC,0,1013,76,0,-1,18.2,13.9,34640,94,1.8,1.2
2019,8,10,05:10,UTC,0,1013.1,75,0,-1,18.5,13.9,42090,112,2.3,1.7
2019,8,10,05:20,UTC,0,1013.1,74,0,-1,19,14.4,43700,115,2.3,1.7
2019,8,10,05:30,UTC,0,1013.2,74,0,-1,19.6,14.9,38430,114,2.2,1.5
2019,8,10,05:40,UTC,0,1013.4,78,0,-1,19.3,15.3,37730,153,3.3,2.2
2019,8,10,05:50,UTC,0,1013.4,74,0,-1,19.6,15,43960,148,3.1,2
2019,8,10,06:00,UTC,0,1013.5,75,0,-1,19.7,15.2,44280,150,3.4,2.2
2019,8,10,06:10,UTC,0,1013.6,74,0,-1,19.7,15,38570,160,3.4,2.1
2019,8,10,06:20,UTC,0,1013.7,76,0,-1,19.7,15.3,38780,178,4,2
2019,8,10,06:30,UTC,1,1013.7,78,0,-1,19.3,15.3,38500,193,3.9,2.4
